Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Active_Listing_Count__c,Planned_Listing_Count__c,Page_URL__c,Page_Ranking__c,Page_Views__c,Page_Price__c,Page_Observation__c,Page_Notes__c,Avg_Time_On_Page__c,Unique_Page_Title__c,Unique_Page_Views__c,Last_Updated__c,Status__c,PreviewYears_Page_View__c,Page_View_2005_2006__c,Page_View_2006_2007__c,Page_View_2007_2008__c,Page_View_2008_2009__c,Page_View_2009_2010__c,Page_View_2010_2011__c,Page_View_2012_2013__c,Page_View_2011_2012__c,Page_View_2013_2014__c,Page_View_2014_2015__c,Old_URL__c,Page_View_2015_2016__c,Page_View_Nov_22nd_2016_Mar_21_212017__c,Page_View_2016_2017__c
a0640000002jYWKAA2,00540000000sI3HAAU,0,Real Estate at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/7/2017 14:06,00540000002mQ18AAE,5/6/2017 17:58,4,0,https://www.totallybarbados.com/barbados/Real_Estate/,54,5511,480,Available,,57.36,Real Estate at Totally Barbados,,11/5/2015 0:00,,,1521,13797,14875,10762,12453,11775,6870,9111,3628,5511,,,,
a0640000002jYWLAA2,00540000000sI3HAAU,0,Sightseeing Tours of Barbados - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,4/19/2017 0:38,00540000000wPF9AAM,7/29/2017 3:12,8,0,https://www.totallybarbados.com/articles/sightseeing-tours/,79,453,200,Available 2017,,55.88,Sightseeing Tours of Barbados - Totally Barbados,,4/18/2017 0:00,TB4 Reviewed & Updated,,1543,13634,13090,5214,5731,6923,4821,7684,4644,6481,https://www.totallybarbados.com/barbados/Travel/Sightseeing/,3297,453,
a0640000002jYWMAA2,00540000000sI3HAAU,0,Barbados Hotels and Resorts at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,1/18/2017 0:54,00540000002mQ18AAE,5/6/2017 18:54,1,0,https://www.totallybarbados.com/barbados/Local_Listings/Accommodation_Listings/Hotel_Listings/,132,2201,480,Local Listings,,42.31,Barbados Hotels and Resorts at Totally Barbados,,11/5/2015 0:00,Completed - Verified Listings,,365,6422,4979,5709,6537,6957,2990,4984,1313,2201,,,,
a0640000002jYWNAA2,00540000000sI3HAAU,0,Weather at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,4/18/2017 20:13,00540000002mQ18AAE,5/6/2017 21:24,0,0,https://www.totallybarbados.com/articles/about-barbados/weather/,180,1497,480,Available,,82.08,Weather at Totally Barbados,,11/5/2015 0:00,Completed - Content Rewritten,,2251,2548,8978,4418,4900,5554,1635,3792,505,1497,https://www.totallybarbados.com/barbados/About_Barbados/Local_Information/Weather/,,336,
a0640000002jYWOAA2,00540000000sI3HAAU,0,Shopping at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/9/2017 23:38,005400000035xjFAAQ,5/6/2017 21:24,4,0,https://www.totallybarbados.com/articles/shopping/,30,9727,480,Available,"New article published on September 8th, 2008.",63.63,Shopping at Totally Barbados,,3/9/2016 0:00,Completed - Content Rewritten,,953,10594,11449,9629,12931,14548,8417,11758,5053,9727,,,,
a0640000002jYWPAA2,00540000000sI3HAAU,0,Travel at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/7/2017 13:08,00540000002mQ18AAE,5/6/2017 18:54,4,0,https://www.totallybarbados.com/barbados/Travel/,177,1509,480,Available,,49.97,Travel at Totally Barbados,,11/5/2015 0:00,,,1794,11661,10719,6249,6805,6806,1991,3529,721,1509,,,,
a0640000002jYWQAA2,00540000000sI3HAAU,0,Barbados Local Listings at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,1/18/2017 0:54,00540000002mQ18AAE,7/2/2017 2:00,2,0,https://www.totallybarbados.com/barbados/Local_Listings/,90,3364,480,Local Listings,,36.56,Barbados Local Listings at Totally Barbados,,11/5/2015 0:00,Completed - Verified Listings,,1648,8894,10713,8873,7810,7475,3141,4485,2580,3364,,,,
a0640000002jYWRAA2,00540000000sI3HAAU,0,Barbados Restaurants at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,11/11/2015 2:43,00540000000sI3HAAU,5/6/2017 18:18,1,0,https://www.totallybarbados.com/barbados/Local_Listings/Restaurant_Guide/,48,6502,480,Local Listings,,24.64,Barbados Restaurants at Totally Barbados,,11/5/2015 0:00,Completed - Verified Listings,,1773,3963,6463,8968,11332,11421,6766,10759,3464,6502,,,,
a0640000002jYWSAA2,00540000000sI3HAAU,0,Barbados Visitors Guide at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,4/28/2016 3:30,00540000002mQ18AAE,5/6/2017 18:54,4,0,https://www.totallybarbados.com/visitorsguide.html,11,19135,600,Available,,31.34,Visitors Guide to Barbados,,11/5/2015 0:00,Completed - Content Rewritten,,,7967,7277,4696,6353,5476,20109,24568,10217,19135,,,,
a0640000002jYWTAA2,00540000000sI3HAAU,0,Things to do in Barbados - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,6/7/2017 19:34,00540000000wPF9AAM,7/29/2017 3:12,8,0,https://www.totallybarbados.com/articles/things-to-do-in-barbados/,14,1432,200,Available,,79.3,Things to do in Barbados - Totally Barbados,,6/7/2017 0:00,6 Months Updated,,,5170,8892,9748,19199,23063,17807,27725,9886,20313,https://www.totallybarbados.com/barbados/Entertainment/Things_to_do_in_Barbados/,,1432,
a0640000002jYWUAA2,00540000000sI3HAAU,0,Barbados Food at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/15/2016 21:40,00540000002mQ18AAE,11/29/2016 1:59,2,0,https://www.totallybarbados.com/barbados/About_Barbados/Local_Information/Barbados_Food/,19,13528,480,Available,,107.65,Barbados Food at Totally Barbados,,11/5/2015 0:00,Completed - Content Rewritten,,,4394,9260,15339,18150,19509,16384,25065,8377,13528,,,,
a0640000002jYWVAA2,00540000000sI3HAAU,0,Beaches and Bays at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/13/2017 20:52,00540000002mQ18AAE,7/2/2017 2:00,4,0,https://www.totallybarbados.com/barbados/About_Barbados/Beaches_and_Bays/,32,9503,480,Available,"Used to be named: Barbados Beaches and Bays at Totally Barbados however on June 25th I noticed it is now named ""Beaches and Bays at Totally Barbados"" - not sure when or how this changed......when launched TB3? Sept. 9th, 2011? Unsure",56.37,Beaches and Bays at Totally Barbados,,11/5/2015 0:00,,,8590,11610,8797,7008,10718,12519,8389,15553,5031,9503,,,,
a0640000002jYWWAA2,00540000000sI3HAAU,0,Tourist Attractions at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,12/12/2016 23:17,00540000002mQ18AAE,5/6/2017 21:24,5,0,https://www.totallybarbados.com/barbados/Travel/Sightseeing/Tourist_Attractions/,18,13756,480,Available,,78.67,Tourist Attractions at Totally Barbados,,11/5/2015 0:00,Completed - Content Rewritten,2010: 5212 2011: 6522 2012: 7200,1049,5656,7149,7816,10240,11580,13427,16997,7640,13756,,,,
a0640000002jYWXAA2,00540000000sI3HAAU,0,Real Estate Listings at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/7/2017 14:12,00540000002mQ18AAE,5/6/2017 17:34,0,0,https://www.totallybarbados.com/local-places/real-estate-listings/,56,5343,480,Local Listings,,48.3,Barbados Real Estate Companies and Realtors at Totally Barbados,,11/5/2015 0:00,Completed - Verified Listings,,424,4472,2717,3146,4942,4949,4110,5444,2998,5343,,,,
a0640000002jYWZAA2,00540000000sI3HAAU,0,Barbados Bar and Lounge Guide at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,11/11/2015 2:43,00540000000sI3HAAU,5/6/2017 20:15,1,0,https://www.totallybarbados.com/barbados/Local_Listings/Bar_Listings/,71,4357,480,Local Listings,,51.42,Barbados Bar and Lounge Guide at Totally Barbados,,11/5/2015 0:00,Completed - Verified Listings,,,1040,3268,3435,4379,4791,3782,4864,2293,4357,,,,
a0640000002jYWaAAM,00540000000sI3HAAU,0,Barbados Tours Sightseeing and Attractions at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,1/19/2016 1:41,00540000002mQ18AAE,2/11/2017 7:43,0,0,https://www.totallybarbados.com/barbados/Local_Listings/Sightseeing_Listings/,257,896,480,Local Listings,,52.17,Barbados Tours Sightseeing and Attractions at Totally Barbados,,11/5/2015 0:00,Completed - Verified Listings,,125,1638,3665,4789,2054,3269,812,2383,514,896,,,,
a0640000002jYWbAAM,00540000000sI3HAAU,0,South Coast Beaches at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,7/30/2016 18:16,00540000002mQ18AAE,7/2/2017 2:00,2,0,https://www.totallybarbados.com/barbados/About_Barbados/Beaches_and_Bays/South_Coast_Beaches/,73,4171,480,Available,,64.57,Barbados South Coast Beaches at Totally Barbados,,11/5/2015 0:00,,,,6595,5570,4107,4170,4585,3301,5704,1739,4171,,,,
a0640000002jYWcAAM,00540000000sI3HAAU,0,Barbados Business and Investment Guide at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,11/11/2015 2:43,00540000000sI3HAAU,11/11/2015 2:43,1,0,https://www.totallybarbados.com/barbados/Business/,16,15225,600,Available,,0,Barbados Business and Investment Guide,,11/5/2015 0:00,,,810,6560,7068,2915,5896,5317,14458,18957,8422,15225,,,,
a0640000002jYWdAAM,00540000000sI3HAAU,0,Car Rentals and Hire Listings Archives - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,4/19/2017 1:29,00540000000wPF9AAM,5/6/2017 22:05,1,0,https://www.totallybarbados.com/local-places/car-rentals-and-hire-listings/,125,2316,480,Local Listings,,49.27,Car Rentals and Hire Listings Archives - Totally Barbados,,4/18/2017 0:00,TB4 Reviewed & Updated,,0,0,4684,3996,2228,2767,1967,3028,1916,3304,http://www.totallybarbados.com/barbados/Local_Listings/Car_Rentals_and_Hire_Listings/,1390,351,
a0640000002jYWeAAM,00540000000sI3HAAU,0,Barbados Apartment Rentals at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,1/25/2017 1:27,00540000000wPF9AAM,5/6/2017 20:15,0,0,https://www.totallybarbados.com/local-places/accommodation-listings/apartment-rentals/,69,4581,480,Available 2017,,49.29,Barbados Apartment Rentals at Totally Barbados,,1/24/2017 0:00,Completed - Verified Listings,,,3468,1894,3321,6526,7376,5408,7040,2984,6147,https://www.totallybarbados.com/barbados/Local_Listings/Accommodation_Listings/Apartment_Listings/,3994,,
a0640000002jYWfAAM,00540000000sI3HAAU,0,Barbados Guesthouse Rentals and Bookings at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,1/24/2016 23:48,00540000002mQ18AAE,1/24/2016 23:48,0,0,https://www.totallybarbados.com/barbados/Local_Listings/Accommodation_Listings/Guesthouse_Listings/,226,1118,480,Local Listings,,86.79,Barbados Guesthouse Rentals and Bookings at Totally Barbados,,11/5/2015 0:00,Completed - Verified Listings,,,2938,2452,3889,4820,4937,1855,3460,783,1118,,,,
a0640000002jYWgAAM,00540000000sI3HAAU,0,West Coast Beaches at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/10/2017 14:40,00540000002mQ18AAE,7/2/2017 2:00,2,0,https://www.totallybarbados.com/barbados/About_Barbados/Beaches_and_Bays/West_Coast_Beaches/,77,3984,480,Available,"The TITLE of this page was accidentally renamed when we launched TB3 on September 12th, 2011 from ""Barbados West Coast Beaches at Totally Barbados"" to ""West Coast Beaches at Totally Barbados"".  But the URL did NOT change.",50.73,West Coast Beaches at Totally Barbados,,11/5/2015 0:00,,,398,6108,5222,4013,5216,5646,3464,6017,1814,3984,,,,
a0640000002jYWhAAM,00540000000sI3HAAU,0,Barbados Events Guide - Barbados Events,4/25/2008 21:32,00540000000sI3HAAU,6/7/2017 19:25,00540000000wPF9AAM,7/2/2017 2:00,4,0,https://www.totallybarbados.com/barbados-events-calendar/,6,2601,200,Available,,53.31,Barbados Events Guide - Barbados Events,,6/7/2017 0:00,6 Months Updated,,,,,,,,,,,,https://events.totallybarbados.com,,2601,
a0640000002jYWiAAM,00540000000sI3HAAU,0,Language of Barbados at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,11/11/2015 2:43,00540000000sI3HAAU,11/11/2015 2:43,0,0,https://www.totallybarbados.com/barbados/About_Barbados/Local_Information/Culture/84.htm,62,5072,480,Available,,115.1,Language of Barbados at Totally Barbados,,11/5/2015 0:00,Completed - Content Rewritten,,916,1960,5523,7236,4739,6259,3067,6129,1334,5072,,,,
a0640000002jYWjAAM,00540000000sI3HAAU,0,Barbados Restaurants by Location at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/13/2017 22:02,00540000002mQ18AAE,7/1/2017 23:04,4,0,https://www.totallybarbados.com/barbados/Local_Listings/Restaurant_Guide/Restaurants_by_Location/,76,4033,480,Local Listings,,16.77,Barbados Restaurants by Location at Totally Barbados,,11/5/2015 0:00,Completed - Verified Listings,,27,2095,5750,4393,5778,6023,3369,5120,1858,4033,,,,
a0640000002jYWkAAM,00540000000sI3HAAU,0,Rihanna at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,11/11/2015 2:43,00540000000sI3HAAU,11/11/2015 2:43,0,0,https://www.totallybarbados.com/barbados/About_Barbados/Local_Information/People/Meet_a_Bajan/Rihanna/,375,510,480,Available,,78.48,Rihanna at Totally Barbados,,11/5/2015 0:00,,,,595,13691,2348,657,813,403,634,276,510,,,,
a0640000002jYWlAAM,00540000000sI3HAAU,0,Barbados Map at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,11/11/2015 2:43,00540000000sI3HAAU,5/6/2017 17:51,0,0,https://www.totallybarbados.com/barbados-photos/Map_Images/2615.html,268,841,480,Available,,,Barbados Map at Totally Barbados,,11/5/2015 0:00,,,1293,941,3733,2943,1393,1714,1072,2054,773,841,,,,
a0640000002jYWoAAM,00540000000sI3HAAU,0,Barbados People Photo Gallery at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,11/11/2015 2:43,00540000000sI3HAAU,11/11/2015 2:43,0,0,https://www.totallybarbados.com/barbados-photos/People_Photos/,459,338,480,Available,,40.03,Barbados People Photo Gallery at Totally Barbados,,11/5/2015 0:00,,,,,,37,1716,1188,554,818,233,338,,,,
a0640000002jYWpAAM,00540000000sI3HAAU,0,Facts about Barbados at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,1/14/2017 21:53,00540000002mQ18AAE,1/15/2017 12:32,0,0,https://www.totallybarbados.com/articles/about-barbados/facts-about-barbados/,68,4605,480,Available,,120.34,Facts about Barbados at Totally Barbados,,11/5/2015 0:00,Completed - Content Rewritten,,82,4550,5731,5985,8009,8125,5958,9109,2401,4605,,,,
a0640000002jYWqAAM,00540000000sI3HAAU,0,Culture at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,2/7/2016 19:55,00540000002mQ18AAE,2/7/2016 19:55,1,0,https://www.totallybarbados.com/barbados/About_Barbados/Local_Information/Culture/,101,2843,480,Available,,108,Culture at Totally Barbados,,11/5/2015 0:00,Completed - Content Rewritten,,1269,3695,5041,4349,3826,3552,2345,4344,968,2843,,,,
a0640000002jYWrAAM,00540000000sI3HAAU,0,Grantley Adams International Airport - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,7/22/2017 18:47,00540000000wPF9AAM,7/22/2017 18:47,3,0,https://www.totallybarbados.com/articles/travel/barbados-airport/,2,127,200,Available,,69.33,Grantley Adams International Airport - Totally Barbados,,7/22/2017 0:00,TB4 Reviewed & Updated,,659,3892,4953,3919,4246,2619,898,2080,376,821,https://www.totallybarbados.com/barbados/Travel/Barbados_Airport/,,127,
a0640000002jYWsAAM,00540000000sI3HAAU,0,Famous Barbadians at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,9/20/2016 18:48,00540000002mQ18AAE,9/22/2016 10:57,0,0,https://www.totallybarbados.com/barbados/About_Barbados/Local_Information/People/Famous_Barbadians/,154,1788,480,Available,,109,Famous Barbadians at Totally Barbados,,11/5/2015 0:00,Completed - Content Rewritten,,,2880,5217,5611,5835,5939,3079,6090,1209,1788,,,,
a0640000002jYWuAAM,00540000000sI3HAAU,0,Night Clubs - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,6/7/2017 22:27,00540000000wPF9AAM,7/2/2017 1:06,2,0,https://www.totallybarbados.com/articles/entertainment/night-clubs/,21,1194,200,Available,,51.43,Night Clubs - Totally Barbados,,6/7/2017 0:00,6 Months Updated,,2515,5311,5495,6387,7783,8149,8217,10646,5781,13338,https://www.totallybarbados.com/barbados/Entertainment/Night_Clubs/,,1194,
a0640000002jYWvAAM,00540000000sI3HAAU,0,Barbados Hotels at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,12/28/2016 21:52,00540000002mQ18AAE,5/6/2017 18:49,7,0,https://www.totallybarbados.com/barbados/Accommodation/Barbados_Hotels/,161,1724,480,Available,,38.47,Barbados Hotels at Totally Barbados,,11/5/2015 0:00,,,1778,3134,5782,2758,3656,4972,2620,4290,1272,1724,,,,
a0640000002jYWwAAM,00540000000sI3HAAU,0,Living in Barbados - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,6/7/2017 23:21,00540000000wPF9AAM,7/2/2017 1:06,1,0,https://www.totallybarbados.com/articles/living-in-barbados/,29,1008,200,Available,,81.27,Living in Barbados - Totally Barbados,,6/7/2017 0:00,6 Months Updated,,,43,4507,6177,7064,6471,6945,7904,4847,10704,,,1008,
a0640000002jYWxAAM,00540000000sI3HAAU,0,Barbados Restaurants by Cuisine at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/13/2017 22:02,00540000002mQ18AAE,7/1/2017 23:04,4,0,https://www.totallybarbados.com/barbados/Local_Listings/Restaurant_Guide/Restaurants_by_Cuisine/,92,3282,480,Local Listings,,15.82,Barbados Restaurants by Cuisine at Totally Barbados,,11/5/2015 0:00,Completed - Verified Listings,,359,2091,5398,3907,5043,4895,2498,3876,1554,3282,,,,
a0640000002jYWyAAM,00540000000sI3HAAU,0,Sports at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/28/2016 19:56,00540000002mQ18AAE,7/2/2017 2:16,3,0,https://www.totallybarbados.com/barbados/Entertainment/Sports/,80,3888,480,Available,,82.38,Sports at Totally Barbados,,11/5/2015 0:00,,,341,3486,4005,3427,3683,4663,4171,7356,2437,3888,,,,
a0640000002jYWzAAM,00540000000sI3HAAU,0,Accommodation Map at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/10/2017 15:03,00540000002mQ18AAE,5/6/2017 20:15,5,0,https://www.totallybarbados.com/accommodation-map/,142,1980,480,Available,,68.31,Accommodation Map at Totally Barbados,,11/5/2015 0:00,,,,724,4804,3130,4703,4337,2296,4178,1017,1980,https://www.totallybarbados.com/barbados/Accommodation/Accommodation_Map/,,,
a0640000002jYX0AAM,00540000000sI3HAAU,0,Animals of Barbados at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,12/19/2016 21:27,00540000002mQ18AAE,12/21/2016 4:23,1,0,https://www.totallybarbados.com/articles/about-barbados/animals/,122,2378,480,Available,,93.96,Animals of Barbados at Totally Barbados,,1/17/2016 0:00,Completed - Content Rewritten,,232,3250,4474,3709,2185,2165,1785,2256,999,2378,,,,
a0640000002jYX1AAM,00540000000sI3HAAU,0,People at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,11/11/2015 2:43,00540000000sI3HAAU,11/11/2015 2:43,0,0,https://www.totallybarbados.com/barbados/About_Barbados/Local_Information/People/,128,2297,480,Available,,93.51,People at Totally Barbados,,11/5/2015 0:00,,,622,2877,4059,3800,3434,3126,2466,3141,1082,2297,,,,
a0640000002jYX2AAM,00540000000sI3HAAU,0,Car Rentals at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,3/13/2017 20:54,00540000002mQ18AAE,5/6/2017 18:54,5,0,https://www.totallybarbados.com/barbados/Travel/Transportation/Car_Rentals/,38,7707,480,Available,,56.64,Car Rentals at Totally Barbados,,11/5/2015 0:00,,,1153,2691,4682,4727,6800,9836,7187,12042,4010,7707,,,,
a0640000002jYX3AAM,00540000000sI3HAAU,0,Macaroni Pie Recipe - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,6/7/2017 19:09,00540000000wPF9AAM,7/2/2017 1:06,0,0,https://www.totallybarbados.com//articles/barbados-recipes/macaroni-pie-recipe/,4,2760,200,Available,,,Macaroni Pie Recipe - Totally Barbados,,6/7/2017 0:00,6 Months Updated,,,1537,2861,9172,15001,19877,27187,28220,22317,45455,barbados/About_Barbados/Local_Information/Barbados_Food/Barbados_Recipes/3928.htm,,2760,
a0640000002jYX4AAM,00540000000sI3HAAU,0,Barbados Animals Photo Gallery at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,11/11/2015 2:43,00540000000sI3HAAU,11/11/2015 2:43,0,0,https://www.totallybarbados.com/barbados-photos/Animal_Photos/,564,216,480,Available,,38.75,Barbados Animals Photo Gallery at Totally Barbados,,11/5/2015 0:00,,,,,,32,1855,1192,371,710,164,216,,,,
a0640000002jYX6AAM,00540000000sI3HAAU,0,Moving to Barbados - Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,6/7/2017 19:31,00540000000wPF9AAM,7/2/2017 1:06,1,0,https://www.totallybarbados.com/articles/living-in-barbados/moving-to-barbados/,11,1536,200,Available,,92.26,Moving to Barbados - Totally Barbados,,6/7/2017 0:00,6 Months Updated,,,32,4080,5620,6893,6416,6579,7436,3835,12530,https://www.totallybarbados.com/barbados/Living_in_Barbados/Moving_to_Barbados/,,1536,
a0640000002jYX8AAM,00540000000sI3HAAU,0,Dialect of Barbados at Totally Barbados,4/25/2008 21:32,00540000000sI3HAAU,11/11/2015 2:43,00540000000sI3HAAU,11/11/2015 2:43,0,0,https://www.totallybarbados.com/barbados/About_Barbados/Local_Information/Culture/675.htm,60,5158,480,Available,,96.24,Dialect of Barbados at Totally Barbados,,11/5/2015 0:00,Completed - Content Rewritten,,28,1606,2487,1755,1733,2383,1750,2839,716,5158,,,,
